id,domain,generator,candidates
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,barman,CPDDLMutexed,15
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,barman,CPDDLMutexed,15
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,blocksworld,CPDDLMutexed,19
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,blocksworld,CPDDLMutexed,19
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,child-snack,CPDDLMutexed,15
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,child-snack,CPDDLMutexed,15
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,depots,CPDDLMutexed,91
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,depots,CPDDLMutexed,91
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,driverlog,CPDDLMutexed,6
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,driverlog,CPDDLMutexed,6
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,floor-tile,CPDDLMutexed,7
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,floor-tile,CPDDLMutexed,7
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,grid,CPDDLMutexed,6
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,grid,CPDDLMutexed,6
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,gripper-strips,CPDDLMutexed,4
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,gripper-strips,CPDDLMutexed,4
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,hiking,CPDDLMutexed,10
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,hiking,CPDDLMutexed,10
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,logistics-strips,CPDDLMutexed,2
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,logistics-strips,CPDDLMutexed,2
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,miconic,CPDDLMutexed,5
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,miconic,CPDDLMutexed,5
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,parking,CPDDLMutexed,6
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,parking,CPDDLMutexed,6
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,rover,CPDDLMutexed,21
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,rover,CPDDLMutexed,21
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,satellite,CPDDLMutexed,9
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,satellite,CPDDLMutexed,9
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,scanalyzer3d,CPDDLMutexed,3
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,scanalyzer3d,CPDDLMutexed,3
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,woodworking,CPDDLMutexed,11
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,woodworking,CPDDLMutexed,11