id,domain,problems,Total-Candidates,Pre-Not-Useful-Removed,Post-Duplicates-Removed,Post-Not-Useful-Removed,Total-Refined
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,barman,5,15,7,0,1,3
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,barman,5,15,10,0,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,blocksworld,5,19,9,0,1,3
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,blocksworld,5,19,13,0,1,1
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,child-snack,5,15,12,0,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,child-snack,5,15,10,0,0,1
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,depots,5,91,81,0,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,depots,5,91,81,0,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,driverlog,5,6,0,0,4,6
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,driverlog,5,6,2,0,2,4
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,floor-tile,5,7,3,0,0,1
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,floor-tile,5,7,2,0,0,1
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,grid,5,6,1,0,3,4
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,grid,5,6,1,0,3,4
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,gripper-strips,5,4,1,0,1,3
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,gripper-strips,5,4,4,0,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,hiking,5,10,4,0,2,2
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,hiking,5,10,4,0,2,2
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,logistics-strips,5,2,0,0,0,2
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,logistics-strips,5,2,1,0,0,1
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,miconic,5,5,3,0,0,2
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,miconic,5,5,3,0,0,2
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,parking,5,6,3,0,1,1
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,parking,5,6,4,0,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,rover,5,21,14,0,3,5
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,rover,5,21,20,0,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,satellite,5,9,6,0,0,1
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,satellite,5,9,5,0,1,1
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,scanalyzer3d,5,3,2,0,0,1
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,scanalyzer3d,5,3,2,0,0,1
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,woodworking,5,11,11,0,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,woodworking,5,11,10,0,0,0