domain,problem,name,exit_code,total_time,search_time,solution_time,plan_length
barman,p01,L_TIME,404,,,,
barman,p01,S_TIME,0,0.0933555,0.0527896,0.0933555,101
barman,p02,L_TIME,0,,,,
barman,p02,S_TIME,0,0.132037,0.0655879,0.132037,155
barman,p03,L_TIME,0,,,,
barman,p03,S_TIME,0,0.295351,0.17782,0.295351,221
barman,p04,L_TIME,0,,,,
barman,p04,S_TIME,0,0.718165,0.549997,0.718165,289
barman,p05,L_TIME,0,,,,
barman,p05,S_TIME,0,1.69491,1.43281,1.69491,376
barman,p06,L_TIME,0,,,,
barman,p06,S_TIME,0,1.41245,0.99179,1.41245,398
barman,p07,L_TIME,0,,,,
barman,p07,S_TIME,0,2.06856,1.52859,2.06856,446
barman,p08,L_TIME,0,,,,
barman,p08,S_TIME,0,7.80938,7.07483,7.80938,568
barman,p09,L_TIME,0,,,,
barman,p09,S_TIME,0,8.71743,7.76514,8.71743,640
barman,p10,L_TIME,0,,,,
barman,p10,S_TIME,0,5.94556,4.76142,5.94556,620
barman,p11,L_TIME,0,,,,
barman,p11,S_TIME,0,23.1274,21.5501,23.1274,769
barman,p12,L_TIME,0,,,,
barman,p12,S_TIME,0,13.8377,11.9853,13.8377,733
barman,p13,L_TIME,0,,,,
barman,p13,S_TIME,0,35.0329,32.6866,35.0329,829
barman,p14,L_TIME,0,,,,
barman,p14,S_TIME,0,52.154,49.0366,52.154,947
barman,p15,L_TIME,0,,,,
barman,p15,S_TIME,0,55.9652,51.6983,55.9652,1017
barman,p16,L_TIME,0,,,,
barman,p16,S_TIME,0,42.8094,37.7103,42.8094,976
barman,p17,L_TIME,0,,,,
barman,p17,S_TIME,0,93.2903,87.2477,93.2903,1085
barman,p18,L_TIME,0,,,,
barman,p18,S_TIME,0,56.2229,50.396,56.2229,1088
barman,p19,L_TIME,0,,,,
barman,p19,S_TIME,0,76.444,68.7899,76.444,1136
barman,p20,L_TIME,0,,,,
barman,p20,S_TIME,0,20.8948,20.3723,20.8948,370
barman,p21,L_TIME,124,,,,
barman,p21,S_TIME,0,32.7599,32.1915,32.7599,409
barman,p22,L_TIME,124,,,,
barman,p22,S_TIME,124,,,,
barman,p23,L_TIME,124,,,,
barman,p23,S_TIME,124,,,,
barman,p24,L_TIME,124,,,,
barman,p24,S_TIME,0,56.3006,55.4585,56.3006,504
barman,p25,L_TIME,124,,,,
barman,p25,S_TIME,124,,,,
barman,p26,L_TIME,124,,,,
barman,p26,S_TIME,124,,,,
barman,p27,L_TIME,124,,,,
barman,p27,S_TIME,124,,,,
barman,p28,L_TIME,124,,,,
barman,p28,S_TIME,0,95.5576,94.525,95.5576,547
barman,p29,L_TIME,124,,,,
barman,p29,S_TIME,124,,,,
barman,p30,L_TIME,124,,,,
barman,p30,S_TIME,0,104.888,103.709,104.888,582
blocksworld,p01,L_TIME,0,,,,
blocksworld,p01,S_TIME,0,0.0140044,0.00344129,0.0140044,40
blocksworld,p02,L_TIME,0,,,,
blocksworld,p02,S_TIME,0,0.0215949,0.00584057,0.0215949,40
blocksworld,p03,L_TIME,0,,,,
blocksworld,p03,S_TIME,0,0.0452513,0.0153303,0.0452513,56
blocksworld,p04,L_TIME,0,,,,
blocksworld,p04,S_TIME,0,0.0663038,0.0201503,0.0663038,104
blocksworld,p05,L_TIME,0,,,,
blocksworld,p05,S_TIME,0,0.11861,0.0462583,0.11861,122
blocksworld,p06,L_TIME,0,,,,
blocksworld,p06,S_TIME,0,0.265496,0.126508,0.265496,124
blocksworld,p07,L_TIME,0,,,,
blocksworld,p07,S_TIME,0,0.620316,0.437231,0.620316,282
blocksworld,p08,L_TIME,0,,,,
blocksworld,p08,S_TIME,0,0.959556,0.72343,0.959556,318
blocksworld,p09,L_TIME,0,,,,
blocksworld,p09,S_TIME,0,6.2566,5.84212,6.2566,316
blocksworld,p10,L_TIME,0,,,,
blocksworld,p10,S_TIME,0,3.74548,3.19301,3.74548,354
blocksworld,p11,L_TIME,0,,,,
blocksworld,p11,S_TIME,0,23.1643,22.659,23.1643,730
blocksworld,p12,L_TIME,0,,,,
blocksworld,p12,S_TIME,0,12.4241,11.5944,12.4241,428
blocksworld,p13,L_TIME,0,,,,
blocksworld,p13,S_TIME,0,4.92234,3.88467,4.92234,222
blocksworld,p14,L_TIME,0,,,,
blocksworld,p14,S_TIME,0,45.9125,44.7067,45.9125,722
blocksworld,p15,L_TIME,0,,,,
blocksworld,p15,S_TIME,0,8.20397,6.52909,8.20397,268
blocksworld,p16,L_TIME,0,,,,
blocksworld,p16,S_TIME,0,152.821,151.065,152.821,772
blocksworld,p17,L_TIME,0,,,,
blocksworld,p17,S_TIME,0,52.8751,50.5646,52.8751,700
blocksworld,p18,L_TIME,0,,,,
blocksworld,p18,S_TIME,0,16.7742,13.877,16.7742,314
blocksworld,p19,L_TIME,0,,,,
blocksworld,p19,S_TIME,0,107.996,104.812,107.996,940
blocksworld,p20,L_TIME,0,,,,
blocksworld,p20,S_TIME,0,27.8004,23.4922,27.8004,362
blocksworld,p21,L_TIME,0,,,,
blocksworld,p21,S_TIME,0,51.16,46.3424,51.16,516
blocksworld,p22,L_TIME,0,,,,
blocksworld,p22,S_TIME,0,119.886,115.006,119.886,818
blocksworld,p23,L_TIME,0,,,,
blocksworld,p23,S_TIME,0,44.4378,38.263,44.4378,402
blocksworld,p24,L_TIME,0,,,,
blocksworld,p24,S_TIME,0,79.976,72.7002,79.976,472
blocksworld,p25,L_TIME,0,,,,
blocksworld,p25,S_TIME,0,78.6821,70.5404,78.6821,446
blocksworld,p26,L_TIME,0,,,,
blocksworld,p26,S_TIME,0,82.6797,73.7473,82.6797,480
blocksworld,p27,L_TIME,0,,,,
blocksworld,p27,S_TIME,124,,,,
blocksworld,p28,L_TIME,0,,,,
blocksworld,p28,S_TIME,124,,,,
blocksworld,p29,L_TIME,0,,,,
blocksworld,p29,S_TIME,124,,,,
blocksworld,p30,L_TIME,0,,,,
blocksworld,p30,S_TIME,0,829.096,817.159,829.096,1244
childsnack,p01,L_TIME,0,,,,
childsnack,p01,S_TIME,0,0.123868,0.112632,0.123868,31
childsnack,p02,L_TIME,0,,,,
childsnack,p02,S_TIME,0,0.0271375,0.0132692,0.0271375,35
childsnack,p03,L_TIME,0,,,,
childsnack,p03,S_TIME,0,0.0337534,0.0171258,0.0337534,34
childsnack,p04,L_TIME,0,,,,
childsnack,p04,S_TIME,0,0.0650117,0.0367109,0.0650117,45
childsnack,p05,L_TIME,0,,,,
childsnack,p05,S_TIME,0,0.411308,0.374275,0.411308,57
childsnack,p06,L_TIME,0,,,,
childsnack,p06,S_TIME,0,0.261995,0.205585,0.261995,64
childsnack,p07,L_TIME,0,,,,
childsnack,p07,S_TIME,0,0.761206,0.690825,0.761206,73
childsnack,p08,L_TIME,0,,,,
childsnack,p08,S_TIME,0,0.385479,0.296278,0.385479,72
childsnack,p09,L_TIME,22,,,,
childsnack,p09,S_TIME,22,,,,
childsnack,p10,L_TIME,0,,,,
childsnack,p10,S_TIME,0,0.839327,0.686579,0.839327,91
childsnack,p11,L_TIME,22,,,,
childsnack,p11,S_TIME,22,,,,
childsnack,p12,L_TIME,22,,,,
childsnack,p12,S_TIME,22,,,,
childsnack,p13,L_TIME,22,,,,
childsnack,p13,S_TIME,22,,,,
childsnack,p14,L_TIME,22,,,,
childsnack,p14,S_TIME,22,,,,
childsnack,p15,L_TIME,22,,,,
childsnack,p15,S_TIME,22,,,,
childsnack,p16,L_TIME,22,,,,
childsnack,p16,S_TIME,22,,,,
childsnack,p17,L_TIME,22,,,,
childsnack,p17,S_TIME,22,,,,
childsnack,p18,L_TIME,22,,,,
childsnack,p18,S_TIME,22,,,,
childsnack,p19,L_TIME,22,,,,
childsnack,p19,S_TIME,22,,,,
childsnack,p20,L_TIME,22,,,,
childsnack,p20,S_TIME,22,,,,
childsnack,p21,L_TIME,22,,,,
childsnack,p21,S_TIME,22,,,,
childsnack,p22,L_TIME,22,,,,
childsnack,p22,S_TIME,22,,,,
childsnack,p23,L_TIME,22,,,,
childsnack,p23,S_TIME,22,,,,
childsnack,p24,L_TIME,22,,,,
childsnack,p24,S_TIME,22,,,,
childsnack,p25,L_TIME,22,,,,
childsnack,p25,S_TIME,22,,,,
childsnack,p26,L_TIME,22,,,,
childsnack,p26,S_TIME,22,,,,
childsnack,p27,L_TIME,22,,,,
childsnack,p27,S_TIME,22,,,,
childsnack,p28,L_TIME,22,,,,
childsnack,p28,S_TIME,22,,,,
childsnack,p29,L_TIME,22,,,,
childsnack,p29,S_TIME,22,,,,
childsnack,p30,L_TIME,22,,,,
childsnack,p30,S_TIME,22,,,,
depots,p01,L_TIME,0,,,,
depots,p01,S_TIME,0,0.0297518,0.0026815,0.0297518,15
depots,p02,L_TIME,0,,,,
depots,p02,S_TIME,0,0.0707971,0.0193728,0.0707971,24
depots,p03,L_TIME,0,,,,
depots,p03,S_TIME,0,0.128939,0.0205867,0.128939,25
depots,p04,L_TIME,0,,,,
depots,p04,S_TIME,0,0.337943,0.07421,0.337943,37
depots,p05,L_TIME,0,,,,
depots,p05,S_TIME,0,0.651805,0.229828,0.651805,36
depots,p06,L_TIME,0,,,,
depots,p06,S_TIME,0,24.6906,23.4343,24.6906,63
depots,p07,L_TIME,0,,,,
depots,p07,S_TIME,0,4.91919,3.50284,4.91919,57
depots,p08,L_TIME,0,,,,
depots,p08,S_TIME,0,94.8837,92.2699,94.8837,75
depots,p09,L_TIME,0,,,,
depots,p09,S_TIME,0,258.666,254.252,258.666,88
depots,p10,L_TIME,0,,,,
depots,p10,S_TIME,0,273.531,267.65,273.531,99
depots,p11,L_TIME,0,,,,
depots,p11,S_TIME,0,341.061,332.362,341.061,104
depots,p12,L_TIME,0,,,,
depots,p12,S_TIME,0,36.4709,27.8419,36.4709,95
depots,p13,L_TIME,0,,,,
depots,p13,S_TIME,0,766.984,754.241,766.984,121
depots,p14,L_TIME,0,,,,
depots,p14,S_TIME,0,1421.72,1402.97,1421.72,144
depots,p15,L_TIME,0,,,,
depots,p15,S_TIME,0,102.638,80.794,102.638,113
depots,p16,L_TIME,0,,,,
depots,p16,S_TIME,0,1133.85,1111.4,1133.85,123
depots,p17,L_TIME,0,,,,
depots,p17,S_TIME,0,1325.38,1283.56,1325.38,168
depots,p18,L_TIME,124,,,,
depots,p18,S_TIME,124,,,,
depots,p19,L_TIME,124,,,,
depots,p19,S_TIME,124,,,,
depots,p20,L_TIME,124,,,,
depots,p20,S_TIME,124,,,,
depots,p21,L_TIME,124,,,,
depots,p21,S_TIME,124,,,,
depots,p22,L_TIME,124,,,,
depots,p22,S_TIME,124,,,,
depots,p23,L_TIME,124,,,,
depots,p23,S_TIME,124,,,,
depots,p24,L_TIME,20,,,,
depots,p24,S_TIME,20,,,,
depots,p25,L_TIME,20,,,,
depots,p25,S_TIME,20,,,,
depots,p26,L_TIME,20,,,,
depots,p26,S_TIME,20,,,,
depots,p27,L_TIME,20,,,,
depots,p27,S_TIME,20,,,,
depots,p28,L_TIME,20,,,,
depots,p28,S_TIME,20,,,,
depots,p29,L_TIME,20,,,,
depots,p29,S_TIME,20,,,,
depots,p30,L_TIME,20,,,,
depots,p30,S_TIME,20,,,,
driverlog,p01,L_TIME,0,,,,
driverlog,p01,S_TIME,0,0.0742062,0.0332983,0.0742062,47
driverlog,p02,L_TIME,0,,,,
driverlog,p02,S_TIME,0,0.138133,0.075254,0.138133,86
driverlog,p03,L_TIME,0,,,,
driverlog,p03,S_TIME,0,0.243368,0.152396,0.243368,98
driverlog,p04,L_TIME,0,,,,
driverlog,p04,S_TIME,0,0.38415,0.238055,0.38415,107
driverlog,p05,L_TIME,0,,,,
driverlog,p05,S_TIME,0,0.697955,0.509087,0.697955,131
driverlog,p06,L_TIME,0,,,,
driverlog,p06,S_TIME,0,1.17221,0.913546,1.17221,160
driverlog,p07,L_TIME,0,,,,
driverlog,p07,S_TIME,0,1.85572,1.52559,1.85572,204
driverlog,p08,L_TIME,0,,,,
driverlog,p08,S_TIME,0,2.11707,1.6464,2.11707,195
driverlog,p09,L_TIME,0,,,,
driverlog,p09,S_TIME,0,2.64645,2.07484,2.64645,216
driverlog,p10,L_TIME,0,,,,
driverlog,p10,S_TIME,0,4.86608,4.11386,4.86608,237
driverlog,p11,L_TIME,0,,,,
driverlog,p11,S_TIME,0,5.08078,4.0528,5.08078,282
driverlog,p12,L_TIME,0,,,,
driverlog,p12,S_TIME,0,20.695,19.6876,20.695,418
driverlog,p13,L_TIME,0,,,,
driverlog,p13,S_TIME,0,36.6866,35.7091,36.6866,419
driverlog,p14,L_TIME,0,,,,
driverlog,p14,S_TIME,0,27.8173,26.7729,27.8173,430
driverlog,p15,L_TIME,0,,,,
driverlog,p15,S_TIME,0,35.2417,33.9158,35.2417,472
driverlog,p16,L_TIME,0,,,,
driverlog,p16,S_TIME,0,47.0808,45.6801,47.0808,506
driverlog,p17,L_TIME,0,,,,
driverlog,p17,S_TIME,0,72.9014,71.2547,72.9014,574
driverlog,p18,L_TIME,0,,,,
driverlog,p18,S_TIME,0,73.9107,72.3309,73.9107,529
driverlog,p19,L_TIME,0,,,,
driverlog,p19,S_TIME,0,168.116,166.185,168.116,653
driverlog,p20,L_TIME,0,,,,
driverlog,p20,S_TIME,0,309.534,305.748,309.534,731
driverlog,p21,L_TIME,0,,,,
driverlog,p21,S_TIME,0,237.009,233.312,237.009,671
driverlog,p22,L_TIME,0,,,,
driverlog,p22,S_TIME,0,502.439,497.082,502.439,823
driverlog,p23,L_TIME,0,,,,
driverlog,p23,S_TIME,0,530.899,524.754,530.899,763
driverlog,p24,L_TIME,0,,,,
driverlog,p24,S_TIME,0,686.744,680.42,686.744,783
driverlog,p25,L_TIME,0,,,,
driverlog,p25,S_TIME,0,735.415,727.423,735.415,945
driverlog,p26,L_TIME,0,,,,
driverlog,p26,S_TIME,0,669.683,661.958,669.683,865
driverlog,p27,L_TIME,0,,,,
driverlog,p27,S_TIME,0,715.438,708.438,715.438,904
driverlog,p28,L_TIME,0,,,,
driverlog,p28,S_TIME,0,707.53,700.434,707.53,859
driverlog,p29,L_TIME,0,,,,
driverlog,p29,S_TIME,0,1358.33,1348.5,1358.33,1050
driverlog,p30,L_TIME,0,,,,
driverlog,p30,S_TIME,0,968.915,958.907,968.915,1112
floortile,p01,L_TIME,0,,,,
floortile,p01,S_TIME,0,0.00859623,0.00116241,0.00859623,13
floortile,p02,L_TIME,0,,,,
floortile,p02,S_TIME,0,29.8494,29.8396,29.8494,45
floortile,p03,L_TIME,22,,,,
floortile,p03,S_TIME,22,,,,
floortile,p04,L_TIME,22,,,,
floortile,p04,S_TIME,22,,,,
floortile,p05,L_TIME,22,,,,
floortile,p05,S_TIME,22,,,,
floortile,p06,L_TIME,22,,,,
floortile,p06,S_TIME,22,,,,
floortile,p07,L_TIME,22,,,,
floortile,p07,S_TIME,22,,,,
floortile,p08,L_TIME,22,,,,
floortile,p08,S_TIME,22,,,,
floortile,p09,L_TIME,22,,,,
floortile,p09,S_TIME,22,,,,
floortile,p10,L_TIME,22,,,,
floortile,p10,S_TIME,22,,,,
floortile,p11,L_TIME,22,,,,
floortile,p11,S_TIME,22,,,,
floortile,p12,L_TIME,22,,,,
floortile,p12,S_TIME,22,,,,
floortile,p13,L_TIME,22,,,,
floortile,p13,S_TIME,22,,,,
floortile,p14,L_TIME,124,,,,
floortile,p14,S_TIME,124,,,,
floortile,p15,L_TIME,124,,,,
floortile,p15,S_TIME,124,,,,
floortile,p16,L_TIME,124,,,,
floortile,p16,S_TIME,124,,,,
floortile,p17,L_TIME,124,,,,
floortile,p17,S_TIME,124,,,,
floortile,p18,L_TIME,124,,,,
floortile,p18,S_TIME,124,,,,
floortile,p19,L_TIME,124,,,,
floortile,p19,S_TIME,124,,,,
floortile,p20,L_TIME,124,,,,
floortile,p20,S_TIME,124,,,,
floortile,p21,L_TIME,124,,,,
floortile,p21,S_TIME,124,,,,
floortile,p22,L_TIME,124,,,,
floortile,p22,S_TIME,124,,,,
floortile,p23,L_TIME,124,,,,
floortile,p23,S_TIME,124,,,,
floortile,p24,L_TIME,124,,,,
floortile,p24,S_TIME,124,,,,
floortile,p25,L_TIME,124,,,,
floortile,p25,S_TIME,124,,,,
floortile,p26,L_TIME,124,,,,
floortile,p26,S_TIME,124,,,,
floortile,p27,L_TIME,124,,,,
floortile,p27,S_TIME,124,,,,
floortile,p28,L_TIME,124,,,,
floortile,p28,S_TIME,124,,,,
floortile,p29,L_TIME,124,,,,
floortile,p29,S_TIME,124,,,,
floortile,p30,L_TIME,124,,,,
floortile,p30,S_TIME,124,,,,
grid,p01,L_TIME,0,,,,
grid,p01,S_TIME,0,0.0211068,0.00316169,0.0211068,37
grid,p02,L_TIME,0,,,,
grid,p02,S_TIME,0,0.0423486,0.00419964,0.0423486,38
grid,p03,L_TIME,0,,,,
grid,p03,S_TIME,0,0.0772737,0.00789307,0.0772737,39
grid,p04,L_TIME,0,,,,
grid,p04,S_TIME,0,0.112139,0.00196669,0.112139,15
grid,p05,L_TIME,0,,,,
grid,p05,S_TIME,0,0.685478,0.192898,0.685478,231
grid,p06,L_TIME,0,,,,
grid,p06,S_TIME,0,0.891929,0.261658,0.891929,89
grid,p07,L_TIME,0,,,,
grid,p07,S_TIME,0,1.49571,0.18405,1.49571,164
grid,p08,L_TIME,20,,,,
grid,p08,S_TIME,0,2.74235,0.825028,2.74235,297
grid,p09,L_TIME,20,,,,
grid,p09,S_TIME,0,8.57061,4.11737,8.57061,650
grid,p10,L_TIME,20,,,,
grid,p10,S_TIME,0,16.969,13.2754,16.969,727
grid,p11,L_TIME,20,,,,
grid,p11,S_TIME,0,3.57776,0.359953,3.57776,113
grid,p12,L_TIME,20,,,,
grid,p12,S_TIME,124,,,,
grid,p13,L_TIME,20,,,,
grid,p13,S_TIME,124,,,,
grid,p14,L_TIME,20,,,,
grid,p14,S_TIME,0,21.9299,6.4056,21.9299,611
grid,p15,L_TIME,20,,,,
grid,p15,S_TIME,0,58.8078,27.6709,58.8078,953
grid,p16,L_TIME,20,,,,
grid,p16,S_TIME,0,109.725,78.1404,109.725,1112
grid,p17,L_TIME,20,,,,
grid,p17,S_TIME,124,,,,
grid,p18,L_TIME,20,,,,
grid,p18,S_TIME,0,99.9432,50.3874,99.9432,944
grid,p19,L_TIME,20,,,,
grid,p19,S_TIME,0,702.891,636.97,702.891,2232
grid,p20,L_TIME,20,,,,
grid,p20,S_TIME,124,,,,
grid,p21,L_TIME,20,,,,
grid,p21,S_TIME,0,1636.26,1368.15,1636.26,4051
grid,p22,L_TIME,20,,,,
grid,p22,S_TIME,0,182.389,41.0873,182.389,871
grid,p23,L_TIME,20,,,,
grid,p23,S_TIME,124,,,,
grid,p24,L_TIME,20,,,,
grid,p24,S_TIME,124,,,,
grid,p25,L_TIME,20,,,,
grid,p25,S_TIME,124,,,,
grid,p26,L_TIME,20,,,,
grid,p26,S_TIME,20,,,,
grid,p27,L_TIME,20,,,,
grid,p27,S_TIME,20,,,,
grid,p28,L_TIME,20,,,,
grid,p28,S_TIME,20,,,,
grid,p29,L_TIME,20,,,,
grid,p29,S_TIME,20,,,,
grid,p30,L_TIME,20,,,,
grid,p30,S_TIME,20,,,,
gripper,p01,L_TIME,0,,,,
gripper,p01,S_TIME,0,0.0140692,0.00419227,0.0140692,59
gripper,p02,L_TIME,0,,,,
gripper,p02,S_TIME,0,0.016834,0.0056913,0.016834,75
gripper,p03,L_TIME,0,,,,
gripper,p03,S_TIME,0,0.0194596,0.00721119,0.0194596,89
gripper,p04,L_TIME,0,,,,
gripper,p04,S_TIME,0,0.0230267,0.00894388,0.0230267,105
gripper,p05,L_TIME,0,,,,
gripper,p05,S_TIME,0,0.0284958,0.0111509,0.0284958,119
gripper,p06,L_TIME,0,,,,
gripper,p06,S_TIME,0,0.0309239,0.0127773,0.0309239,135
gripper,p07,L_TIME,0,,,,
gripper,p07,S_TIME,0,0.0365243,0.015133,0.0365243,149
gripper,p08,L_TIME,0,,,,
gripper,p08,S_TIME,0,0.0422194,0.0174928,0.0422194,165
gripper,p09,L_TIME,0,,,,
gripper,p09,S_TIME,0,0.0465181,0.0201365,0.0465181,179
gripper,p10,L_TIME,0,,,,
gripper,p10,S_TIME,0,0.053768,0.0239125,0.053768,195
gripper,p11,L_TIME,0,,,,
gripper,p11,S_TIME,0,0.0577688,0.0253647,0.0577688,209
gripper,p12,L_TIME,0,,,,
gripper,p12,S_TIME,0,0.0635027,0.0282658,0.0635027,225
gripper,p13,L_TIME,0,,,,
gripper,p13,S_TIME,0,0.0691837,0.0307702,0.0691837,239
gripper,p14,L_TIME,0,,,,
gripper,p14,S_TIME,0,0.0788882,0.0350307,0.0788882,255
gripper,p15,L_TIME,0,,,,
gripper,p15,S_TIME,0,0.0835072,0.0376557,0.0835072,269
gripper,p16,L_TIME,0,,,,
gripper,p16,S_TIME,0,0.0931942,0.0415969,0.0931942,285
gripper,p17,L_TIME,0,,,,
gripper,p17,S_TIME,0,0.100472,0.0455732,0.100472,299
gripper,p18,L_TIME,0,,,,
gripper,p18,S_TIME,0,0.107623,0.0496127,0.107623,315
gripper,p19,L_TIME,0,,,,
gripper,p19,S_TIME,0,0.120044,0.0543095,0.120044,329
gripper,p20,L_TIME,0,,,,
gripper,p20,S_TIME,0,0.12611,0.0575333,0.12611,345
gripper,p21,L_TIME,0,,,,
gripper,p21,S_TIME,0,0.140402,0.0619976,0.140402,359
gripper,p22,L_TIME,0,,,,
gripper,p22,S_TIME,0,0.142099,0.0654636,0.142099,375
gripper,p23,L_TIME,0,,,,
gripper,p23,S_TIME,0,0.157992,0.0728844,0.157992,389
gripper,p24,L_TIME,0,,,,
gripper,p24,S_TIME,0,0.161388,0.0745937,0.161388,405
gripper,p25,L_TIME,0,,,,
gripper,p25,S_TIME,0,0.177224,0.0815639,0.177224,419
gripper,p26,L_TIME,0,,,,
gripper,p26,S_TIME,0,0.192314,0.0894892,0.192314,435
gripper,p27,L_TIME,0,,,,
gripper,p27,S_TIME,0,0.200698,0.0925818,0.200698,449
gripper,p28,L_TIME,0,,,,
gripper,p28,S_TIME,0,0.208678,0.095656,0.208678,465
gripper,p29,L_TIME,0,,,,
gripper,p29,S_TIME,0,0.228391,0.107056,0.228391,479
gripper,p30,L_TIME,0,,,,
gripper,p30,S_TIME,0,0.241611,0.108762,0.241611,495
hiking,p01,L_TIME,0,,,,
hiking,p01,S_TIME,0,7.52039,7.4508,7.52039,90
hiking,p02,L_TIME,0,,,,
